date,key,label,ind,occ,unocc,cap,cap_funding,rate,col_type,indent,is_total
2026-08-16,fam_trans_r,"Families, Transitional Shelter Programs",338,120,0,120,119,100.0,room,1,False
2026-08-16,fam_hotel,"Families, Motel/Hotel Programs",518,144,0,144,218,100.0,room,1,False
2026-08-16,sng_hotel,"Single Sector Motel/Hotel, Total",447,204,0,204,258,100.0,room,0,True
2026-08-16,singles_total,"Singles Sectors, Total",3263,3263,120,3383,3518,96.5,bed,0,True
2026-08-16,emerg_total,"Emergency Shelter Programs, Total",2502,2502,53,2555,2673,97.9,bed,1,True
2026-08-16,mix_emerg,"Mixed Adult, Emergency",536,536,5,541,582,99.1,bed,2,False
2026-08-16,men_emerg,"Men, Emergency",1040,1040,39,1079,1149,96.4,bed,2,False
2026-08-16,wom_emerg,"Women, Emergency",486,486,0,486,492,100.0,bed,2,False
2026-08-16,yth_emerg,"Youth, Emergency",440,440,9,449,450,98.0,bed,2,False
2026-08-16,trans_total,"Transitional Shelter Programs, Total",761,761,67,828,845,91.9,bed,1,True
2026-08-16,mix_trans,"Mixed Adult, Transitional",205,205,14,219,219,93.6,bed,2,False
2026-08-16,fam_trans_b,"Families, Transitional",6,6,15,21,22,28.6,bed,2,False
2026-08-16,men_trans,"Men, Transitional",166,166,16,182,185,91.2,bed,2,False
2026-08-16,wom_trans,"Women, Transitional",120,120,2,122,128,98.4,bed,2,False
2026-08-16,yth_trans,"Youth, Transitional",264,264,20,284,291,93.0,bed,2,False
2026-08-16,allied_total,"Allied Services, Total",358,358,6,364,368,98.4,bed,0,True
2026-08-16,respites,24-Hour Respites,295,295,1,296,300,99.7,bed,1,False
2026-08-16,dropin,24-Hour Women's Drop-ins,63,63,5,68,68,92.6,bed,1,False
2026-08-16,temp_resp,24-Hour Temporary Response Sites,47,47,0,47,50,100.0,bed,0,False
2026-08-16,hotels,Hotels,1996,1496,6,1502,1515,99.6,room,0,False
2026-08-16,iso,Isolation/Recovery Programs Combined Total,0,0,0,0,0,,room,0,False
2026-08-15,all_shelter,"All Shelter Programs, Total",7653,,,,,,summary,0,True
2026-08-15,room_based,"Shelter Programs, Room-Based, Total",1981,,,,,,summary,1,True
2026-08-15,singles_sector,"Singles Sector Programs, Total",5672,,,,,,summary,1,True
2026-08-15,singles_shelter,"  Shelter Programs, Singles, Total",3269,3269,118,3387,3518,96.5,summary,2,False
2026-08-15,allied_summ,"  Allied Services, Total",358,358,7,365,368,98.1,summary,2,False
2026-08-15,temp_summ,"  Temporary Programs, Total",2045,,,,,,summary,2,False
2026-08-15,iso_summ,Temporary Isolation/Recovery Programs,0,0,0,0,0,,summary,1,False
2026-08-15,fam_total,"Family Sector, Total",1534,490,1,491,586,99.8,room,0,True
2026-08-15,fam_emerg,"Families, Emergency Shelter Programs",678,226,1,227,249,99.6,room,1,False
2026-08-15,fam_trans_r,"Families, Transitional Shelter Programs",338,120,0,120,119,100.0,room,1,False
2026-08-15,fam_hotel,"Families, Motel/Hotel Programs",518,144,0,144,218,100.0,room,1,False
2026-08-15,sng_hotel,"Single Sector Motel/Hotel, Total",447,204,0,204,258,100.0,room,0,True
2026-08-15,singles_total,"Singles Sectors, Total",3269,3269,118,3387,3518,96.5,bed,0,True
2026-08-15,emerg_total,"Emergency Shelter Programs, Total",2510,2510,49,2559,2673,98.1,bed,1,True
2026-08-15,mix_emerg,"Mixed Adult, Emergency",537,537,6,543,582,98.9,bed,2,False
2026-08-15,men_emerg,"Men, Emergency",1047,1047,34,1081,1149,96.9,bed,2,False
2026-08-15,wom_emerg,"Women, Emergency",486,486,0,486,492,100.0,bed,2,False
2026-08-15,yth_emerg,"Youth, Emergency",440,440,9,449,450,98.0,bed,2,False
